feature,mean_abs_shap
macro_week__中国:水泥价格指数,3.0294912
lpr_1y,2.5636125
银行,1.692384
其他,1.4847276
lpr_5y,1.2631662
保险,1.168528
omo_withdraw,0.95981896
macro_day__总偿还量(亿元),0.7771422
基金,0.7763147
券商,0.7682519
macro_week__中国:30大中城市:成交面积:商品房,0.6264854
macro_day__总发行量(亿元),0.54608953
omo_net,0.48544693
macro_week__中国:票房收入:电影,0.44671398
omo_inject,0.4460246
macro_day__净融资额(亿元),0.34528673
理财子,0.30910143
macro_week__期货结算价(连续):布伦特原油,0.25397635
macro_week__中国:平均批发价:猪肉,0.24375969
macro_week__中国:开工率:汽车轮胎(半钢胎),0.22440399
macro_day__发行只数,0.13046479
macro_week__波罗的海货运指数,0.11138647
macro_week__中国:开工率:汽车轮胎(全钢胎),0.10438464
macro_week__中国出口集装箱运价指数:综合指数,0.088618726
macro_day__到期只数,0.08452021
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.076953895
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.06830601
macro_week__唐山:高炉开工率,0.06412239
macro_day__到期偿还量(亿元),0.060514558
macro_week__中国:日均产量:粗钢,0.057847206
macro_week__中国食用农产品价格指数,0.04389036
macro_week__义乌中国小商品指数:总价格指数,0.040765103
macro_week__上海出口集装箱运价指数:综合指数,0.038202774
net_financing_total,0.037277177
macro_week__中国:开工率:石油沥青装置,0.035050288
macro_week__中国:生产资料价格指数,0.029475424
macro_day__赎回量(亿元),0.012881153
macro_day__赎回只数,0.0018216575
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.000404893
macro_day__现金要约金额(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__现金要约只数,0.0
